cab_id,entropy,total_records,unique_locations,most_frequent_location,location_diversity,entropy_quartile,segment
abboip,10.253421534660609,23495,3776,37.752_-122.394,0.16071504575441584,Q1 (Low),Low Mobility (Routine)
abcoij,2.8852787845869434,5454,443,37.752_-122.394,0.08122478914558122,Q1 (Low),Low Mobility (Routine)
abdremlu,11.12768904705614,21962,4504,37.616_-122.386,0.2050815044167198,Q4 (High),High Mobility (Explorer)
abgibo,10.85072221325996,25095,4653,37.616_-122.386,0.185415421398685,Q3,High Mobility (Explorer)
abjoolaw,10.604122827439754,8704,2683,37.616_-122.386,0.3082490808823529,Q2,Medium Mobility
abmuyawm,10.781139079349384,22797,4345,37.752_-122.395,0.19059525376145983,Q3,Medium Mobility
abniar,10.984995511687416,25526,4620,37.792_-122.411,0.18099192979706966,Q4 (High),High Mobility (Explorer)
abnovkak,9.991770564049359,24195,4204,37.751_-122.395,0.173754908038851,Q1 (Low),Low Mobility (Routine)
abtyff,11.010042124873252,20794,4235,37.783_-122.471,0.20366451861113782,Q4 (High),High Mobility (Explorer)
abwecnij,10.691025058418266,25637,3869,37.616_-122.386,0.15091469360689627,Q2,Medium Mobility
abyalwif,10.62419744962887,18100,3030,37.792_-122.411,0.16740331491712707,Q2,Medium Mobility
acdiyito,10.646749120050483,15785,3597,37.616_-122.386,0.22787456445993032,Q2,Medium Mobility
acduou,10.685450526202409,23957,4154,37.752_-122.394,0.1733939975789957,Q2,Medium Mobility
acgerl,10.362897455097887,13619,3178,37.751_-122.395,0.23335046626037154,Q1 (Low),Low Mobility (Routine)
acitva,10.306569575376223,17927,3900,37.616_-122.386,0.21754894851341552,Q1 (Low),Low Mobility (Routine)
ackgrica,10.578632106390602,11518,3292,37.616_-122.386,0.28581350928980725,Q2,Medium Mobility
acpegho,10.944466196984063,27525,4497,37.785_-122.420,0.16337874659400545,Q4 (High),High Mobility (Explorer)
acvebr,10.520027428620937,24643,4205,37.752_-122.395,0.170636691961206,Q2,Low Mobility (Routine)
adkavy,10.399167513535652,19542,3900,37.616_-122.386,0.19957015658581517,Q1 (Low),Low Mobility (Routine)
adnerst,11.271780577668705,25261,5173,37.752_-122.395,0.2047820751355845,Q4 (High),High Mobility (Explorer)
adpaifo,10.863652908116347,23403,4143,37.752_-122.394,0.17702858607870786,Q4 (High),High Mobility (Explorer)
